id_venta,fecha,id_sucursal,id_platillo,cantidad,monto_total,metodo_pago
1,2025-07-01,1,104,1,140,App Movil
2,2025-07-01,1,109,1,160,Tarjeta
3,2025-07-01,1,105,3,450,Tarjeta
4,2025-07-01,1,118,1,40,App Movil
5,2025-07-01,1,114,1,45,Tarjeta
6,2025-07-01,1,103,1,85,Tarjeta
7,2025-07-01,1,117,2,100,Tarjeta
8,2025-07-01,1,118,1,40,App Movil
9,2025-07-01,2,118,2,80,Tarjeta
10,2025-07-01,2,115,2,190,Efectivo
11,2025-07-01,2,101,1,95,App Movil
12,2025-07-01,2,114,1,45,Efectivo
13,2025-07-01,2,105,1,150,Efectivo
14,2025-07-01,2,104,1,140,Efectivo
15,2025-07-01,2,104,1,140,Efectivo
16,2025-07-01,2,109,1,160,App Movil
17,2025-07-01,3,118,1,40,Efectivo
18,2025-07-01,3,103,2,170,Efectivo
19,2025-07-01,3,112,2,160,Tarjeta
20,2025-07-01,3,103,1,85,App Movil
21,2025-07-01,3,110,1,90,Tarjeta
22,2025-07-01,4,104,2,280,Efectivo
23,2025-07-01,4,115,3,285,Efectivo
24,2025-07-01,4,106,1,190,Efectivo
25,2025-07-01,4,107,3,525,Efectivo
26,2025-07-01,4,103,2,170,App Movil
27,2025-07-01,4,106,2,380,App Movil
28,2025-07-01,4,106,2,380,Efectivo
29,2025-07-01,4,109,3,480,App Movil
30,2025-07-01,5,111,1,75,Tarjeta
31,2025-07-01,5,102,1,110,Efectivo
32,2025-07-01,5,109,1,160,Tarjeta
33,2025-07-01,5,111,1,75,App Movil
34,2025-07-01,5,116,2,260,App Movil
35,2025-07-01,5,115,1,95,Efectivo
36,2025-07-02,1,118,2,80,Efectivo
37,2025-07-02,1,114,2,90,Efectivo
38,2025-07-02,1,112,1,80,Tarjeta
39,2025-07-02,2,116,1,130,Tarjeta
40,2025-07-02,2,104,1,140,App Movil
41,2025-07-02,2,106,3,570,Efectivo
42,2025-07-02,2,103,2,170,Efectivo
43,2025-07-02,2,115,2,190,Efectivo
44,2025-07-02,2,118,1,40,App Movil
45,2025-07-02,2,104,3,420,App Movil
46,2025-07-02,3,109,3,480,Efectivo
47,2025-07-02,3,104,1,140,Efectivo
48,2025-07-02,3,106,2,380,Tarjeta
49,2025-07-02,3,109,2,320,Tarjeta
50,2025-07-02,3,117,1,50,App Movil
51,2025-07-02,3,110,3,270,App Movil
52,2025-07-02,3,107,1,175,Efectivo
53,2025-07-02,3,106,2,380,App Movil
54,2025-07-02,3,101,2,190,Efectivo
55,2025-07-02,4,101,1,95,Efectivo
56,2025-07-02,4,110,1,90,Tarjeta
57,2025-07-02,4,103,1,85,App Movil
58,2025-07-02,4,116,1,130,App Movil
59,2025-07-02,4,105,1,150,App Movil
60,2025-07-02,5,118,1,40,Efectivo
61,2025-07-02,5,117,2,100,Efectivo
62,2025-07-02,5,107,2,350,App Movil
63,2025-07-02,5,107,3,525,Efectivo
